"lotno","partname","mainlot","inspection_no","first_input_qty","input_date","input_process_code","last_output_qty","completed_date","product_group","product","last_nc_no","nc_rank","nc_issue_date","nc_state","nc_defect_rate","nc_defect_name","total_nc","created_at","updated_at","semi_fg_lotno"
LOTMT0635,"4DSACE803477","","",9576,2025-10-07 00:00:00.000,"1",6000,2026-03-24 22:30:00.000,,,NCR20251023-00330,B,2025-10-23,undefined,"100",Total yield ratio lower spec (ESR),1,2026-03-25 18:50:00.000,2026-03-25 18:50:00.000,""
LOTMT0638,"4DSACE803477","","",9576,2025-10-07 00:00:00.000,"1",6000,2026-03-24 20:40:00.000,,,NCR20251028-00232,B,2025-10-28,undefined,"100",LC Short chip,1,2026-03-25 18:50:00.000,2026-03-25 18:50:00.000,""
LOTMT0594,"4DSACE803107","","",11970,2026-03-09 00:00:00.000,"1",9000,2026-03-31 09:44:00.000,,,NCR20260318-00335,B,2026-03-18,Making Instruction of Lot Disposition,"100",Total yield ratio lower spec (LC),1,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
LOTMT2636,"4DSACE803477","","",9576,2025-09-29 00:00:00.000,"1",3000,2026-03-24 21:21:00.000,,,NCR20251028-00355,B,2025-10-28,undefined,"100",Total yield ratio lower spec (ESR),2,2026-03-25 18:50:00.000,2026-03-25 18:50:00.000,""
LOTMT0029,"4DSACE803477","","",9576,2026-03-02 00:00:00.000,"1",6000,2026-03-31 11:23:00.000,,,NCR20260310-00165,B,2026-03-10,Release/Reject Judgement,"100",Total yield ratio lower spec (CDF),1,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
LOTMT0100,"4DSACE803477","","",9576,2026-03-04 00:00:00.000,"1",6000,2026-03-31 11:20:00.000,,,NCR20260318-00160,B,2026-03-18,Making Instruction of Lot Disposition,"100",Total yield ratio lower spec (LC),1,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
LOTMT0385,"4DSACE803477","","",9576,2026-03-07 00:00:00.000,"1",6000,2026-03-31 11:17:00.000,,,NCR20260318-00170,B,2026-03-18,Release/Reject Judgement,"100",Total yield ratio lower spec (ESR),1,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
LOTMT0413,"4DSACE803107","","",11970,2026-03-07 00:00:00.000,"1",9000,2026-03-31 11:27:00.000,,,NCR20260318-00165,B,2026-03-18,Making Instruction of Lot Disposition,"100",Total yield ratio lower spec (LC),1,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
LOTMT0569,"4DSACE803477","","",9576,2026-03-06 00:00:00.000,"1",6000,2026-03-31 11:14:00.000,,,NCR20260320-00131,B,2026-03-20,Release/Reject Judgement,"100",Total yield ratio lower spec (CDF),1,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
LOTMT2642,"4DSACE803477","","",9576,2025-09-30 00:00:00.000,"1",3000,2026-03-24 21:26:00.000,,,NCR20251021-00168,B,2025-10-21,undefined,"100",LC Short chip,1,2026-03-25 18:50:00.000,2026-03-25 18:50:00.000,""
LOTMT0542,"4DSACE803477","","",9576,2025-11-08 00:00:00.000,"1",3000,2026-03-25 13:50:00.000,,,NCR20251121-00254,B,2025-11-21,undefined,"100",Total yield ratio lower spec (CDF),3,2026-03-26 18:51:00.000,2026-03-26 18:51:00.000,""
LOTMT0588,"4DSACE803477","","",9576,2025-11-11 00:00:00.000,"1",6000,2026-03-30 15:01:00.000,,,NCR20251118-00168,B,2025-11-18,undefined,"100",LC Short chip,1,2026-03-31 18:52:00.000,2026-03-31 18:52:00.000,""
LOTMT2558,"4DSACE803337","","",9576,2026-02-28 00:00:00.000,"1",6000,2026-03-30 13:36:00.000,,,NCR20260320-00222,B,2026-03-20,Release/Reject Judgement,"100",Total yield ratio lower spec (ESR),1,2026-03-31 18:52:00.000,2026-03-31 18:52:00.000,""
LOTMT0619,"4DSACE803337","","",9576,2026-03-09 00:00:00.000,"1",6000,2026-03-30 13:34:00.000,,,NCR20260319-00158,B,2026-03-19,Release/Reject Judgement,"100",Total yield ratio lower spec (ESR),1,2026-03-31 18:52:00.000,2026-03-31 18:52:00.000,""
LOTMT2088,"4DSACE803477","","",9576,2025-10-23 00:00:00.000,"1",6000,2026-03-25 17:22:00.000,,,NCR20251105-00345,B,2025-11-05,undefined,"100",LC Short chip,1,2026-03-26 18:51:00.000,2026-03-26 18:51:00.000,""
LOTMT2820,"4DSACE803477","","",9576,2025-10-01 00:00:00.000,"1",6000,2026-03-25 17:18:00.000,,,NCR20251016-00277,B,2025-10-16,undefined,"100",LC Short chip,1,2026-03-26 18:51:00.000,2026-03-26 18:51:00.000,""
LOTMT2479,"4DSACE803477","","",9576,2026-02-27 00:00:00.000,"1",3000,2026-03-31 14:23:00.000,,,NCR20260318-00172,B,2026-03-18,Release/Reject Judgement,"100",Total yield ratio lower spec (ESR),2,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
LOTMT0041,"4DSACE803477","","",9576,2025-10-01 00:00:00.000,"1",6000,2026-03-25 18:03:00.000,,,NCR20251010-00221,B,2025-10-10,undefined,"100",Total yield ratio lower spec (ESR),1,2026-03-26 18:51:00.000,2026-03-26 18:51:00.000,""
LOTMT2086,"4DSACE803477","","",9576,2025-10-23 00:00:00.000,"1",3000,2026-03-25 17:52:00.000,,,NCR20251103-00281,B,2025-11-03,undefined,"100",Total yield ratio lower spec (ESR),1,2026-03-26 18:51:00.000,2026-03-26 18:51:00.000,""
LOTMT0891,"4DSACE803336","","",9576,2026-03-11 00:00:00.000,"1",6000,2026-04-01 12:27:00.000,,,NCR20260325-00202,B,2026-03-25,Making Instruction of Lot Disposition,"100",Total yield ratio lower spec (CDF),1,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
LOTMT1420,"4DSACE803336","","",9576,2026-03-18 00:00:00.000,"1",6000,2026-04-01 12:33:00.000,,,NCR20260325-00313,B,2026-03-25,Making Instruction of Lot Disposition,"100",Total yield ratio lower spec (CDF),1,2026-04-01 13:06:00.000,2026-04-01 13:06:00.000,""
